run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
5157,54532551,2,530,29.19000049121678,13.01999968662858,41,17
5157,60139205,-1,696,34.869998866692185,15.499999824911356,50,26
5157,60330697,2,525,-3.819999821484089,46.270000487565994,51,17
5157,61937712,-1,323,81.44000031426549,28.950000286102295,46,15
5157,66235473,-1,367,42.669999081641436,15.449999639764428,48,13
5157,67770350,1,633,93.77000130154192,53.57000042125583,50,23
5157,72409335,4,364,100.55000025220215,41.76999995112419,44,22
5157,73591717,-1,571,30.780000168830156,15.890000406652689,68,29
5157,75029230,4,528,70.15000022575259,32.590000566095114,49,26
5157,75196255,2,1108,51.64999794587493,24.23999845981598,70,21
5157,84731234,-1,259,40.18000069633126,14.920000735670328,44,14
5157,85868097,1,353,36.950000355020165,21.32000035047531,49,16
5157,88301468,1,830,62.65000152774155,38.22000039741397,71,29
5157,90120061,-1,575,5.669999981299043,13.559999972581863,56,29
5157,91371744,4,334,69.70999993756413,27.67000038176775,42,13
5157,91556921,3,538,46.47000007331371,11.540000319480896,54,26
5157,95883861,5,383,42.83999981172383,24.549999987706542,44,20
5157,96074165,-1,237,32.14999916777015,15.629999667406082,37,11
5157,99785584,-1,232,66.43000040948391,20.859999895095825,38,9
5157,100719161,-1,196,49.299999540671706,17.160000011324883,34,8
5157,108062525,-1,310,-1.720000697299838,4.1599999368190765,34,11
5157,109835238,1,539,54.5799990221858,15.5599994212389,47,25
5157,111261136,-1,296,44.75000053085387,22.29000014066696,35,11
5157,112930499,1,745,23.289999468252063,13.799999194219708,57,19
5157,122507878,1,799,98.83000086806715,46.07000019773841,73,32
5157,123934997,-1,494,46.55999949760735,22.699999690055847,55,15
5157,125699080,-1,182,38.99000036716461,15.790000084787607,33,12
5157,133814317,-1,328,28.910000124946237,12.710000148043036,38,13
5157,142739126,-1,230,61.60000083968043,20.300000309944153,39,11
5157,149722450,4,520,53.379999212920666,22.699999768286943,58,21
5157,150754982,-1,385,2.82000045850873,4.990000240504742,50,14
5157,153050392,4,297,81.4499992299825,29.84999984689057,40,14
5157,153241837,1,689,29.969999887049198,10.310000006109476,52,27
5157,159977647,-1,509,58.7900013551116,19.100000128149986,47,18
5157,160069491,-1,407,50.19000036083162,23.540000166743994,49,15
5157,160077698,-1,140,47.53999972343445,23.850000083446503,31,9
5159,2262343,5,391,25.120000319555402,20.819999635219574,50,17
5159,5962571,-1,464,70.7299993596971,29.04999982006848,54,16
5159,7576765,-1,367,54.15000093355775,26.180000483989716,41,12
5159,10459175,4,577,-9.219999888911843,17.209999721497297,56,19
5159,11484542,-1,369,33.959998816251755,18.609999924898148,44,12
5159,11791987,4,804,60.59999902173877,29.270000487565994,71,24
5159,14666401,-1,547,33.90000009164214,21.83999977633357,51,17
5159,14991458,-1,228,45.29000043682754,18.960000179708004,37,10
5159,16773412,5,366,34.960000433027744,18.210000410676003,45,17
5159,17016903,-1,265,66.22000098600984,21.030000381171703,39,14
5159,26364025,-1,169,20.820000052452087,13.25,36,14
5159,27083536,4,366,55.770000264048576,45.69000005722046,45,18
5159,28784773,-1,178,15.219999924302101,18.890000104904175,34,11
5159,32607159,3,304,102.35999977216125,30.799999844282866,41,15
5159,41193682,3,1607,57.68000026419759,44.76000024192035,71,30
5159,42666952,-1,346,27.299999941140413,21.86000031232834,42,19
5159,52112004,-1,513,75.87999988533556,24.579999912530184,50,16
5159,52754401,-1,243,30.600000113248825,15.830000132322311,39,11
5159,59429177,-1,152,19.739999931305647,14.06000006198883,32,9
5159,61516268,1,559,121.05999887734652,63.81999886780977,49,22
5159,61615577,-1,553,44.77000021189451,21.250000298023224,62,18
5159,64245920,-1,292,9.439999338239431,7.419999942183495,32,12
5159,65966316,-1,193,30.44999985024333,11.310000151395798,34,12
5159,68750679,-1,202,63.32999982871115,25.55000004172325,28,8
5159,70181818,-1,181,28.659999571740627,20.50999977439642,30,8
5159,76418000,-1,390,36.429999120533466,17.34999991208315,35,12
5159,83046152,1,643,73.55000028572977,45.41000015474856,43,21
5159,84834677,5,634,73.90999990142882,27.68000029027462,56,21
5159,89852916,-1,292,69.64000023901463,22.190000250935555,38,10
5159,93473974,-1,169,13.179999485611916,19.169999539852142,30,7
5159,93871020,-1,467,30.289999740198255,11.72000002861023,45,21
5159,95605273,3,1062,76.43000067025423,30.270000025629997,74,26
5159,102625628,1,1065,35.38000008650124,25.150000616908073,72,27
5159,107228383,-1,334,48.93000037223101,12.090000107884407,40,11
5159,115075650,5,482,27.64999994635582,20.780000016093254,47,15
5171,1093298,-1,264,34.18000012636185,15.88000038266182,33,13
5171,7840803,-1,232,39.21000063419342,16.789999902248383,36,12
5171,8245440,-1,191,67.480000436306,38.66000035405159,34,11
5171,12089020,-1,150,36.00999996624887,16.720000252127647,28,7
5171,12392717,3,504,18.179999643936753,19.549999803304672,56,24
5171,13305454,-1,372,73.8100001718849,39.27000033855438,42,14
5171,21642370,-1,388,60.19999963790178,32.38999982923269,41,14
5171,38651826,-1,348,30.990000559017062,11.169999971985817,45,18
5171,45031500,3,2826,110.06999897770584,68.07999939844012,80,46
5171,46116226,-1,293,49.05999991670251,29.329999715089798,44,15
5171,47373770,3,683,-6.400000389665365,8.740000233054161,55,22
5171,52259932,5,408,22.610000014305115,10.529999881982803,46,14
5171,53889567,-1,241,16.519999258220196,16.610000044107437,35,11
5171,55632411,2,1016,21.870000695809722,19.270000215619802,65,35
5171,56595008,-1,135,44.010000210255384,25.909999787807465,33,9
5171,60462031,4,774,53.33999937772751,34.44999986886978,67,27
5171,62748182,-1,489,66.18999935686588,15.98999947309494,45,24
5171,63696812,-1,486,20.020001297816634,14.030000746250153,56,18
5171,67062698,-1,253,11.229999408125877,8.089999988675117,37,13
5171,67312398,5,798,67.19999954104424,24.03999975323677,48,17
5171,69640691,-1,146,43.27000017464161,17.77000005543232,32,10
5171,70490727,-1,284,29.990001091733575,32.43000014312565,39,13
5171,72913634,-1,325,39.53000019490719,15.950000122189522,36,14
5171,73540995,-1,207,29.960000939667225,21.559999883174896,33,8
5171,77197235,5,715,58.600000059232116,21.84000000357628,63,22
5171,78993929,-1,318,70.32999912649393,20.299999460577965,46,15
5171,79964313,-1,291,29.959999356418848,12.270000100135803,37,11
5171,80725661,2,736,60.05999983847141,33.68999970704317,50,27
5171,87047222,-1,298,38.86999958381057,29.53999976068735,44,12
5171,94022986,-1,165,28.159999914467335,14.489999987185001,33,9
5171,94903501,3,738,8.910000119358301,24.4999996162951,54,23
5171,97459462,2,707,109.89000022038817,41.21000013500452,62,24
5171,107137404,-1,301,45.00000027939677,14.600000843405724,38,15
5171,108503374,-1,320,47.22000018134713,15.940000027418137,40,16
5180,3129149,-1,252,63.79999975860119,32.48999971151352,43,13
5180,3904362,-1,155,27.589999843388796,13.219999868422747,33,8
5180,6558188,3,871,-5.609999660402536,10.399999938905239,63,27
5180,12176761,4,475,55.58999951928854,22.549999490380287,41,14
5180,12268029,-1,415,-6.530000612139702,9.97999994456768,36,10
5180,22848200,3,591,-7.340001221746206,11.919999405741692,55,18
5180,24563371,-1,269,44.950000025331974,19.800000354647636,37,10
5180,26285014,-1,176,19.70999980904162,12.33000011742115,38,15
5180,43453971,-1,94,29.600000891834497,15.490000274032354,25,6
5180,45588619,-1,264,70.00999972224236,19.819999672472477,39,13
5180,52235197,3,354,40.58000015094876,12.219999834895134,39,18
5180,53205291,2,489,2.3100005351006985,15.629999816417694,46,24
5180,53543390,-1,215,45.07999990135431,17.78999988734722,34,10
5180,53997973,-1,181,41.21000012382865,16.080000024288893,32,9
5180,56216988,-1,304,24.90999973192811,13.150000002235174,41,14
5180,58291897,5,1021,25.510000633075833,9.729999884963036,56,31
5180,58295958,-1,165,54.72999972477555,28.16999986767769,32,10
5180,81284079,-1,213,25.119999727234244,15.320000048726797,37,14
5180,84433432,4,393,52.01999993249774,20.280000219121575,41,11
5180,85703030,-1,251,60.42000068537891,15.330000430345535,36,10
5180,86211433,-1,382,23.270000519230962,15.649999987334013,46,14
5180,90067226,3,548,41.54999943636358,18.099999636411667,52,30
5180,90682934,-1,320,22.040000662207603,7.719999939203262,47,14
5180,94065716,-1,188,44.689999878406525,30.26999980211258,36,12
5180,96865726,-1,122,20.359999768435955,9.340000167489052,29,8
5180,98301248,2,1350,123.84000117890537,65.58000043220818,66,31
5180,98612597,5,775,107.65000117942691,41.870000548660755,61,24
5180,99831632,-1,287,50.24000009521842,17.06999984756112,38,10
5180,101763865,-1,419,62.790000289678574,25.26999992132187,46,19
6215,3338128,-1,132,36.039999667555094,15.309999842196703,27,6
6215,6566385,-1,300,0.8099998198449612,4.760000078007579,41,11
6215,8983817,-1,301,104.35999873280525,44.2299994379282,41,12
6215,13877687,1,699,62.900000639259815,20.859999656677246,52,26
6215,23008381,2,589,13.529999723657966,13.739999797195196,55,18
6223,3337425,-1,121,7.410000033676624,7.930000051856041,32,8
6223,6055281,-1,332,30.0900009367615,21.7600000500679,45,20
6223,12542565,-1,130,66.31000008061528,17.329999957233667,28,9
6223,23862622,-1,300,63.54999973997474,24.309999994933605,42,16
6223,26773482,4,568,11.26999949477613,14.339999973773956,53,22
6223,27396084,-1,151,32.530000269412994,10.179999992251396,29,7
6223,28589687,-1,334,66.26999966800213,21.709999680519104,39,13
6223,30651137,-1,199,10.389999659731984,11.490000069141388,38,12
6223,34189758,-1,204,86.80000066570938,23.74000032618642,39,11
6223,44619183,-1,480,21.98000025935471,11.850000329315662,59,19
6223,46306149,4,519,54.56999949738383,43.3900001719594,61,20
6223,49752496,-1,288,22.61999985575676,16.999999910593033,36,10
6226,14574892,-1,524,28.919999450445175,22.07999986410141,56,27
6226,15947823,2,646,21.140000756829977,23.600000608712435,58,19
6226,16114614,-1,204,73.3199992980808,22.3599998280406,35,9
